Course,Title,Credits,Instructor,Location,Days,Start,End,Type
"15700 MGT 312 3","Responsible Bus Leadership","4","M Orlowsky","","MW","1 :00","2 :15P","LECTURE"
"15701 MGT 312 4","Responsible Bus Leadership","4","M Orlowsky","","MW","2 :30","3 :45P","LECTURE"
"16171 MGT 312 5","Responsible Bus Leadership","4","V Alves","","MWF","10:00","10:50A","LECTURE"
"15627 MGT 320 1","Entrepreneurial & Corp Finance","4","K Brady","","MW","1 :00","2 :15P","LECTURE"
"15628 MGT 320 2","Entrepreneurial & Corp Finance","4","R Lewin","","TR","2 :00","3 :15P","LECTURE"
"15629 MGT 320 3","Entrepreneurial & Corp Finance","4","K Brady","","MW","2 :30","3 :45P","LECTURE"
"15630 MGT 320 4","Entrepreneurial & Corp Finance","4","R Lewin","","TR","3 :30","4 :45P","LECTURE"
"15632 MGT 330 1","Entrepreneurial Marketing","4","M Badra","","MW","2 :30","3 :45P","LECTURE"
"15633 MGT 330 2","Entrepreneurial Marketing","4","M Badra","","MW","1 :00","2 :15P","LECTURE"
"15634 MGT 330 3","Entrepreneurial Marketing","4","M Badra","","TR","08:00","09:15A","LECTURE"
"15635 MGT 330 4","Entrepreneurial Marketing","4","M Badra","","TR","09:30","10:45A","LECTURE"
"15665 MGT 342 1","Human Resource Management","4","A Althuis","","MW","1 :00","2 :15P","LECTURE"
"15666 MGT 342 2","Human Resource Management","4","A Althuis","","MW","2 :30","3 :45P","LECTURE"
"15667 MGT 342 3","Human Resource Management","4","M Orlowsky","","MW","4 :00","5 :15P","LECTURE"
"15708 MGT 350 1","Supply Chain Mgmt & MIS","4","F Hassanmirzaei","","TR","08:00","09:15A","LECTURE"
"15709 MGT 350 2","Supply Chain Mgmt & MIS","4","M Heileman","","TR","09:30","10:45A","LECTURE"
"15710 MGT 350 3","Supply Chain Mgmt & MIS","4","M Heileman","","TR","11:00","12:15P","LECTURE"
"15662 MGT 354 1","High Performance Organizations","4","T Pett","","TR","09:30","10:45A","LECTURE"
"15663 MGT 354 2","High Performance Organizations","4","T Pett","","TR","11:00","12:15P","LECTURE"
"16135 MGT 354 3","High Performance Organizations","4","T Pett","","TR","2 :00","3 :15P","LECTURE"
"16114 CLP 102 1","Making Any Major Marketable","2","J Wensel , T French","KWR HUB","TR","11:00","12:15P","LECTURE"
"16115 CLP 102 2","Making Any Major Marketable","2","D Metko , S Brown","KWR HUB","TR","2 :00","3 :15P","LECTURE"
"16142 CLP 102 H1X","Making Any Major Marketable","2","J Wensel","KWR HUB","TR","6 :00","7 :15P","LECTURE"
"16112 CLP 107 1X","Career Champions Mentor","2","C Morman","","TBA","","","LECTURE"
"16137 INTN XXX 1","Internship","","","","TBA","","","LECTURE"
"16207 BCH 244 1","Biochemistry Journal Club","2","M Fuse","","TR","08:00","09:15A","LECTURE"
"15816 BCH 335 1","Biochemistry","4","K Riley","","MWF","09:00","09:50A","LECTURE"
"15817 BCH 335L 1","Biochemistry Lab","2","A Hashim","BUSH 368","M","2 :30","5 :30P","LAB"
"15818 BCH 335L 2","Biochemistry Lab","2","A Hashim","BUSH 368","T","2 :30","5 :30P","LAB"
"15819 BCH 435 1","Advanced Biochemistry","4","K Riley","","TR","09:30","10:45A","LECTURE"
"16156 BCH 435 2","Advanced Biochemistry","4","K Riley","","TR","11:00","12:15P","LECTURE"
"15802 CHM 120 1","Chemistry I","6","M Fuse","BUSH 305","MWF R","08:00","08:50A 2 :00","LECTURE"
"15803 CHM 120 2","Chemistry I","6","M Fuse","BUSH 305","MWF F","10:00","10:50A 1 :00","LECTURE"
"15804 CHM 121 1","Chemistry II","6","B Mosby","BUSH 305","MWF W","11:00","11:50A 1 :00","LECTURE"
"15805 CHM 121 2","Chemistry II","6","E Yook","BUSH 305","MWF T","10:00","10:50A 2 :00","LECTURE"
"15806 CHM 121 3","Chemistry II","6","P Bernal","BUSH 305","MWF M","11:00","11:50A 2 :30","LECTURE"
"15807 CHM 220 1","Organic Chemistry I","4","L Habgood","","MWF","10:00","10:50A","LECTURE"
"15808 CHM 220L 1","Organic Chemistry I Lab","2","L Habgood","BUSH 205","M","1 :00","4 :00P","LAB"
"15810 CHM 221 1","Organic Chemistry II","4","L Habgood","","MWF","09:00","09:50A","LECTURE"
"15811 CHM 221L 1","Organic Chemistry II Lab","2","L Habgood","BUSH 205","W","1 :00","4 :00P","LAB"
"15812 CHM 221L 2","Organic Chemistry II Lab","2","E Yook","BUSH 205","R","2 :00","5 :00P","LAB"
"15815 CHM 305 1","Physical Chemistry I","6","P Bernal","BUSH 264","MWF W","1 :00","1 :50P 2 :30","LECTURE"
"15813 CHM 460 1","AdvTpc:Crystlgrphy & Diffractn","2","B Mosby","","TR","11:00","12:15P","LECTURE"
"16273 CHM 460 2","AdvTpc:Chm Mech Cancer Signal","2","M Fuse","","TR","11:00","12:15P","LECTURE"
"16242 CLS 104 1","Rome: Identity and Empire","4","R Vander Poppen","REX 1","TR","11:00","12:15P","LECTURE"
"15984 LAT 102 1","Introductory Latin II","4","S Rubarth","","MWF","12:00","12:50P","LECTURE"
"16166 LAT 202 1","Intermediate Latin II","4","R Vander Poppen","REX 1","TR","08:00","09:15A","LECTURE"
"15732 COM 100 1","Intro Communication Studies","4","K Pierre","","MW","2 :30","3 :45P","LECTURE"
"15734 COM 100 2","Intro Communication Studies","4","P Adu Gyamfi","","MWF","08:00","08:50A","LECTURE"
"15735 COM 100 3","Intro Communication Studies","4","Y Zhu","","TR","09:30","10:45A","LECTURE"
"15736 COM 100 4","Intro Communication Studies","4","Y Zhu","","MWF","10:00","10:50A","LECTURE"
"15738 COM 100 5","Intro Communication Studies","4","T Vierrether","","MW","1 :00","2 :15P","LECTURE"
"16231 COM 100 6","Intro Communication Studies","4","T Vierrether","","MW","2 :30","3 :45P","LECTURE"
"15739 COM 210 1","Public Speaking","4","K Pierre","","TR","2 :00","3 :15P","LECTURE"
"15740 COM 210 2","Public Speaking","4","K Pierre","","TR","3 :30","4 :45P","LECTURE"
"15741 COM 210 3","Public Speaking","4","R Zhang","","MWF","11:00","11:50A","LECTURE"
"15742 COM 212 H1X","Persuasion","4","T Vierrether","","MW","7 :30","8 :45P","LECTURE"
"16097 COM 220 3","Interpersonal Communication","4","P Adu Gyamfi","","MWF","12:00","12:50P","LECTURE"
"15754 COM 225 1","Legal Communication","4","K Pierre","","MW","4 :00","5 :15P","LECTURE"
"15755 COM 230 1","Listening","4","A Stone","","MW","1 :00","2 :15P","LECTURE"
"15757 COM 240 1","Intercultural Communication","4","Y Zhu","","TR","2 :00","3 :15P","LECTURE"
"15758 COM 240 2","Intercultural Communication","4","H Mesbah","","TR","3 :30","4 :45P","LECTURE"
"15760 COM 285 1","Research Methods Comm","4","D Painter","OLIN 225","TR","11:00","12:15P","LECTURE"
"15761 COM 285 2","Research Methods Comm","4","D Painter","","TR","3 :30","4 :45P","LECTURE"
"15759 COM 285 H1X","Research Methods Comm","4","T Vierrether","","MW","6 :00","7 :15P","LECTURE"
"15762 COM 295 1","Tpc:Dark Side of Communication","4","Y Zhu","","MWF","11:00","11:50A","LECTURE"
"15763 COM 302 1","New Media & Public Relations","4","R Zhang","","MWF","10:00","10:50A","LECTURE"
"15765 COM 313 1","Mass Media & Society","4","H Mesbah","","MW","1 :00","2 :15P","LECTURE"
"15766 COM 319 1","Leadership & Effective Com","4","J Hammonds","","MWF","08:00","08:50A","LECTURE"
"15767 COM 330 1","Health Communication","4","P Adu Gyamfi","","MWF","10:00","10:50A","LECTURE"
"15768 COM 331 H1X","Comm and Social Change","4","R Winter","","R","6 :00","8 :30P","LECTURE"
"15771 COM 351 H1X","Writing for PR","4","R Winter","","T","6 :00","8 :30P","LECTURE"
"15772 COM 352 1","Middle East Media","4","H Mesbah","","MW","2 :30","3 :45P","LECTURE"
"15773 COM 360 1","Destructive Workplace Comm","4","M Garcia","","TR","3 :30","4 :45P","LECTURE"
"16164 COM 365 1","Social Media Influencers/PR","4","R Zhang","","TR","2 :00","3 :15P","LECTURE"
"15774 COM 480 1","SR Seminar in Communication","4","M Garcia","","TR","2 :00","3 :15P","LECTURE"
"15775 COM 480 H1X","SR Seminar in Communication","4","M Garcia","","TR","6 :00","7 :15P","LECTURE"
"15557 CMS 120 1","Intro to Computer Science","4","D Myers","","MWF","10:00","10:50A","LECTURE"
"15558 CMS 120L 1","Intro to Computer Sci Lab","2","D Myers","","W","2 :00","5 :00P","LAB"
"15559 CMS 121 1","Prog & Software Development","4","S Tisha","","TR","11:00","12:15P","LECTURE"
"16196 CMS 195 1","Topic: AI Coding for Everyone","2","D Myers","","MWF","12:00","12:50P","LECTURE"
"15560 CMS 230 1","Computer Org & Architecture","4","V Summet","","TR","2 :00","3 :15P","LECTURE"
"15562 CMS 250 1","Data Structures and Algorithms","4","S Tisha","","MW","1 :00","2 :15P","LECTURE"
"16169 CMS 295 1","Tc: App Electronics & Embd Sys","4","W Coyle","BUSH 160","MW","1 :00","2 :15P","LECTURE"
"15564 CMS 375 1","Database Design & Dev","4","S Tisha","","MWF","10:00","10:50A","LECTURE"
"15565 CMS 430 1","Artificial Intelligence","4","D Myers","","MWF","11:00","11:50A","LECTURE"
"15566 CMS 484 1","Computer Science Capstone","4","V Summet","","TR","08:00","09:15A","LECTURE"
"16195 CMS 495 1","Topic: Intro to Cybersecurity","4","V Summet","","TR","3 :30","4 :45P","LECTURE"
"15461 CMC 110 1","Digital Storytelling","4","S Schoen","OLIN 220","TR","09:30","10:45A","LECTURE"
"15468 CMC 110 2","Digital Storytelling","4","S Schoen","OLIN 220","TR","11:00","12:15P","LECTURE"
"15473 CMC 295 1","Tpc: Body, Food & Justice","4","L Tillmann","","TR","08:00","09:15A","LECTURE"
"15486 CMC 295 2","Tpc: Body, Food & Justice","4","L Tillmann","","TR","09:30","10:45A","LECTURE"
"15460 CMC 300 1","Critical Frameworks","4","N Richter","","TR","2 :00","3 :15P","LECTURE"
"15465 CMC 325 1","Incarceration & Inequality","4","L Tillmann","","W","1 :00","3 :30P","LECTURE"
"15463 CMC 395 1","Topic: Animation in Film","4","N Richter","","T","6 :00","8 :30P","LECTURE"
"15467 CMC 400 1","Doc Filmmaking Seminar","4","S Schoen D McIntosh","OLIN 220 OLIN 220","F F","12:00","12:50P 1 :00","LECTURE"
"15533 DTA 250 1","Fund. Data Science & Analytics","4","J Jasser","","MWF","10:00","10:50A","LECTURE"
"15534 DTA 250 2","Fund. Data Science & Analytics","4","J Jasser","","MWF","11:00","11:50A","LECTURE"
"15547 DTA 350 1","Adv Visualization & Comm","4","J Jasser","","MW","1 :00","2 :15P","LECTURE"
"16057 ECO 108 1","Mathematical Mthds for Econ","4","Y Bing","","MWF","1 :00","1 :50P","LECTURE"
"16059 ECO 121 1","Econ of Contemporary Issues","4","C Abraham","","TR","2 :00","3 :15P","LECTURE"
"16061 ECO 202 1","Econ in Historical Perspective","4","M Rice","","MW","1 :00","2 :15P","LECTURE"
"16062 ECO 202 2","Econ in Historical Perspective","4","M Rice","","MW","2 :30","3 :45P","LECTURE"
"16064 ECO 202 3","Econ in Historical Perspective","4","M Rice","","MW","4 :00","5 :15P","LECTURE"
"16065 ECO 202 4","Econ in Historical Perspective","4","B Balak","","TR","3 :30","4 :45P","LECTURE"
"16085 ECO 202 H1X","Econ in Historical Perspective","4","B Balak","","TR","7 :30","8 :45P","LECTURE"
"16066 ECO 203 1","Prin Micro & Macro Economics","4","C Abraham","","MWF","1 :00","1 :50P","LECTURE"
"16067 ECO 203 2","Prin Micro & Macro Economics","4","C Abraham","","MWF","10:00","10:50A","LECTURE"
"16068 ECO 221 1","Statistics for Economics","4","M Vidovic","","TR","2 :00","3 :15P","LECTURE"
"16069 ECO 221 2","Statistics for Economics","4","E Wolpert","","MW","4 :00","5 :15P","LECTURE"
"16077 ECO 303 1","Intermediate Microeconomics","4","M Vidovic","","TR","3 :30","4 :45P","LECTURE"
"16078 ECO 304 1","Intermediate Macroeconomics","4","A Voicu","","MW","2 :00","3 :15P","LECTURE"
"16182 ECO 304 2","Intermediate Macroeconomics","4","A Voicu","","TR","3 :30","4 :45P","LECTURE"
"16079 ECO 307 1","International Economics","4","A Voicu","","MW","1 :00","2 :15P","LECTURE"
"16183 ECO 310 1","International Finance","4","Y Bing","","TR","2 :00","3 :15P","LECTURE"
"16086 ECO 312 H1X","Alternative Econ Perspectives","4","B Balak","","TR","6 :00","7 :15P","LECTURE"
"16184 ECO 355 1","Environmental Economics","4","C Abraham","","MW","2 :30","3 :45P","LECTURE"
"16081 ECO 381 1","Intro to Econometrics","4","M Vidovic","","TR","11:00","12:15P","LECTURE"
"16082 ECO 395 1","Tpc:Instn'l Eco & Evol Theory","4","M Rice","","TR","3 :30","4 :45P","LECTURE"
"16083 ECO 404 1","Senior Seminar in Econ","4","P Kozel","","MW","2 :30","3 :45P","LECTURE"
"16084 ECO 404 2","Senior Seminar in Econ","4","P Kozel","","MW","4 :00","5 :15P","LECTURE"
"15838 EDU 260 1","American Educational History","4","J Surian , S Hunt-Barron","","W","4 :30","7 :00P","LECTURE"
"16267 EDU 271 1","Introduction to Education","4","S Hunt-Barron","","MW","2 :30","3 :45P","LECTURE"
"15865 EDU 272 H1X","Educational Psychology","4","D Quito","","M","4 :30","7 :00P","LECTURE"
"15840 EDU 280 1","The American Classroom_CE","4","D Quito","","MW","1 :00","2 :15P","LECTURE"
"16181 EDU 295 1","Topic: Invisible Children","4","J Surian","","TR","11:00","12:15P","LECTURE"
"15843 EDU 324 1","Curriculum & Eductnl Assesmnt","4","D Quito","","TR","2 :00","3 :15P","LECTURE"
"15841 EDU 335 H1X","Content Area Read:Secondary","4","S Hunt-Barron","","M","4 :30","7 :00P","LECTURE"
"15844 EDU 406 H1X","Instr Lrng & Class Mgmt","4","J Sanguiliano Lonski","","T","4 :30","7 :00P","LECTURE"
"16177 EDU 417 H1X","Instr Strat & Mgt Secondary","4","T Staff","","T","4 :30","7 :00P","LECTURE"
"16179 EDU 417L H1X","Secondary Ed Field Experience","2","T Staff","","TBA","","","LECTURE"
"15848 EDU 470 H1X","Classroom Management","4","A Griner","CSS 222","W","4 :30","7 :00P","LECTURE"
"15852 EDU 490 1X","Student Teaching: Elem","14","J Surian","","MTWRF","08:00","3 :00P","LECTURE"
"15853 EDU 491 H1X","Student Teaching: Secondary","14","J Manak","","MTWRF","08:00","3 :30P","LECTURE"
"15855 EED 319 H1X","Integrated Arts Elem School","3","J Surian","CSS 222","R","4 :30","6 :30P","LECTURE"
"15857 EED 363 H1X","Social Studies for Elem Sch","4","J Sanguiliano Lonski","","R","4 :30","7 :00P","LECTURE"
"15839 RED 371 1","Diag of Reading Difficulties","4","J Manak","","MW","09:00","10:50A","LECTURE"
"15861 RED 409 H1X","Different Lit & Content Instr","4","A Griner","","R","4 :30","7 :00P","LECTURE"
"15863 RED 409L H1X","Reading Field Experience","4","J Sanguiliano Lonski , A Griner","","TBA","","","LECTURE"
"15510 ENG 190 1","Txt/Contxt: British Romance","4","B Hudson","","TR","3 :30","4 :45P","LECTURE"
"15512 ENG 201 1","Pre1900: Shakespeare","4","B Boles","","W","4 :00","6 :30P","LECTURE"
"15513 ENG 201 2","Pre1900: Sex, War, Plague","4","J Mathews , E Russell","BUSH 201","MWF","09:00","09:50A","LECTURE"
"15514 ENG 221 1","TransNat: The American Abroad","4","M Moise","","MW","2 :30","3 :45P","LECTURE"
"15515 ENG 232 1","Studies in Film: Queer Cinema","4","B Hudson","","TR","2 :00","3 :15P","LECTURE"
"15517 ENG 303 1","Pre1900: Oscar Wilde","4","B Hudson","","MW","4 :00","5 :15P","LECTURE"
"15518 ENG 321 1","TransNat:AsianAmerican Stories","4","M Cheng","","MW","1 :00","2 :15P","LECTURE"
"15520 ENG 334 1","CntmpMdia:Gd Medicine/Bd Drugs","4","E Russell","","MW","2 :30","3 :45P","LECTURE"
"15521 ENG 345 1","AmLit: American Drama","4","B Boles","","TR","3 :30","4 :45P","LECTURE"
"15522 ENG 445 1","AmLit: Sin & Redemption","4","J Jones","","TR","11:00","12:15P","LECTURE"
"15476 ENGW 140 04","Writing About: Magic Kingdom","4","A Zimmermann","","MWF","10:00","10:50A","LECTURE"
"15477 ENGW 140 05","Writing About: Magic Kingdom","4","A Zimmermann","","MWF","11:00","11:50A","LECTURE"
"15478 ENGW 140 06","Writing About: Magic Kingdom","4","A Zimmermann","","MWF","12:00","12:50P","LECTURE"
"15479 ENGW 140 07","Writing About: Comics","4","F Tran","","MWF","10:00","10:50A","LECTURE"
"15480 ENGW 140 08","Writing About: Comics","4","F Tran","","MWF","11:00","11:50A","LECTURE"
"15481 ENGW 140 09","Writing About: Comics","4","F Tran","","MWF","12:00","12:50P","LECTURE"
"15482 ENGW 140 10","Writing About: Fandoms","4","K Avagliano","","MW","1 :00","2 :15P","LECTURE"
"15483 ENGW 140 11","Writing About: Fandoms","4","K Avagliano","","MW","2 :30","3 :45P","LECTURE"
"15485 ENGW 140 12","Writing About: Fandoms","4","K Avagliano","","TR","09:30","10:45A","LECTURE"
"15487 ENGW 140 13","Writing Abt:BusinessNarratives","4","B Boles","","TR","09:30","10:45A","LECTURE"
"15488 ENGW 140 14","Writing About: Prestige TV","4","M Moise","","MW","1 :00","2 :15P","LECTURE"
"15489 ENGW 140 15","Writing About: Prestige TV","4","M Moise","","TR","11:00","12:15P","LECTURE"
"16199 ENGW 140 16","Writing Abt:The Sunshine State","4","J Mathews","","MWF","11:00","11:50A","LECTURE"
"15523 ENGW 167 1","Intro to Creative Writing","4","A Zimmermann","","MW","2 :30","3 :45P","LECTURE"
"15524 ENGW 167 2","Intro to Creative Writing","4","K Avagliano","","TR","11:00","12:15P","LECTURE"
"15525 ENGW 263 1","WrtFc:Autofiction Bots Bck Off","4","V Brown","","TR","2 :00","3 :15P","LECTURE"
"15526 ENGW 267 1","Tpc/Tch: Travel Writing","4","M Forsythe","","MWF","10:00","10:50A","LECTURE"
"15527 ENGW 367 1","Tpc/Tch: Children's Literature","4","M Forsythe","","MWF","11:00","11:50A","LECTURE"
"15529 ENGW 377 1","Prof Writ: Legal Writing","4","J Mathews","","MW","1 :00","2 :15P","LECTURE"
"15528 ENGW 380 1","Language Studies","4","M Cheng","","TR","2 :00","3 :15P","LECTURE"
"15530 ENGW 482 1","Writing for Publication","4","V Brown","","TR","11:00","12:15P","LECTURE"
"15821 ENV 189 1","Envir Crisis in Cultural Cntxt","4","V Machado","LODGE REEVES","TR","11:00","12:15P","LECTURE"
"16160 ENV 295 1","Topic: Freshwater Perspectives","4","E Nodine","BEAL 1","TR","11:00","12:15P","LECTURE"
"16269 ENV 295 2","Topics: Field Ornithology","2","I Biazzo","BEAL 1","MWF","08:00","08:50A","LECTURE"
"15824 ENV 323 1","Conservation of Biodiversity","4","I Biazzo","BUSH 176","TR","08:00","09:15A","LECTURE"
"16118 ENV 330 1","Women and the Environment","4","L Poole","BEAL 2","MW","1 :00","2 :15P","LECTURE"
"15826 ENV 348 1","Sustainable Development","4","B Allen","BEAL 2","TR","3 :30","4 :45P","LECTURE"
"15827 ENV 350 1","Food Culture and Environment","4","L Lines","BEAL 1","TR","09:30","10:45A","LECTURE"
"15828 ENV 380 1","American Environmental History","4","L Poole","BEAL 2","TR","11:00","12:15P","LECTURE"
"15829 ENV 395 1","Tpc: Neotropical Environments","4","L Lines","BEAL 1","MWF","10:00","10:50A","LECTURE"
"16117 ENV 395 4","Tc:Ecotourism Agr Consrv Carib","4","B Allen","BEAL 2","MWF","11:00","11:50A","LECTURE"
"15832 ENV 413 1","Sr Sem: Environmental Issues","4","L Lines","BEAL 1","TR","2 :00","3 :15P","LECTURE"
"15833 ENV 413 2","Sr Sem: Environmental Issues","4","E Nodine","BEAL 2","TR","2 :00","3 :15P","LECTURE"
"15466 FIL 245 1","Film as Art: Florida Film Fest","4","N Richter","","TBA","","","LECTURE"
"15464 FIL 395 1","Topics: Animation in Film","4","N Richter","","T","6 :00","8 :30P","LECTURE"
"15567 GBH 200 1","Intro to Public Health","4","S Brown","","MWF","11:00","11:50A","LECTURE"
"15458 ARA 102 1","Elementary Arabic II","4","S Alaya Seghair","","MWF","12:00","12:50P","LECTURE"
"15392 CHN 101 1","Elem Chinese I","4","Z Gu","","MWF","09:00","09:50A","LECTURE"
"15393 CHN 102 1","Elem Chinese II","4","Z Gu","","MWF","10:00","10:50A","LECTURE"
"15394 CHN 201 1","Intermediate Chinese I","4","Z Gu","","MWF","11:00","11:50A","LECTURE"
"15395 CHN 202 1","Intermediate Chinese II","4","Z Gu","","MWF","12:00","12:50P","LECTURE"
"15449 FRN 101 1","Elementary French I","4","N Gammar","","MWF","10:00","10:50A","LECTURE"
"15450 FRN 101 2","Elementary French I","4","N Gammar","","MWF","11:00","11:50A","LECTURE"
"15451 FRN 102 1","Elementary French II","4","S Alaya Seghair","","MWF","10:00","10:50A","LECTURE"
"15452 FRN 102 2","Elementary French II","4","S Alaya Seghair","","MWF","11:00","11:50A","LECTURE"
"15453 FRN 201 1","Intermediate French I","4","C Castillo","","MWF","10:00","10:50A","LECTURE"
"15454 FRN 201 2","Intermediate French I","4","C Castillo","","MWF","11:00","11:50A","LECTURE"
"15455 FRN 202 1","Intermediate French II","4","N Gammar","","MWF","1 :00","1 :50P","LECTURE"
"16089 FRN 350 1","Tc: French & Francophone World","4","C Castillo","","MWF","12:00","12:50P","LECTURE"
"15397 HBR 102 1","Elementary Hebrew II","4","R Shisgal","","TR","3 :30","4 :45P","LECTURE"
"15412 SPN 101 1","Elementary Spanish I","4","C Gonzalez Martin","","MWF","10:00","10:50A","LECTURE"
"15413 SPN 101 2","Elementary Spanish I","4","C Gonzalez Martin","","MWF","11:00","11:50A","LECTURE"
"15414 SPN 101 3","Elementary Spanish I","4","J Fischer","","MWF","12:00","12:50P","LECTURE"
"15415 SPN 101 4","Elementary Spanish I","4","J Fischer","","MWF","1 :00","1 :50P","LECTURE"
"15417 SPN 102 2","Elementary Spanish II","4","J Fischer","","MWF","09:00","09:50A","LECTURE"
"15418 SPN 102 3","Elementary Spanish II","4","J Fischer","","MWF","10:00","10:50A","LECTURE"
"15419 SPN 102 4","Elementary Spanish II","4","Y Smith","","MWF","10:00","10:50A","LECTURE"
"15420 SPN 102 5","Elementary Spanish II","4","Y Smith","","MWF","11:00","11:50A","LECTURE"
"15421 SPN 102 6","Elementary Spanish II","4","C Gonzalez Martin","","MWF","12:00","12:50P","LECTURE"
"15422 SPN 102 7","Elementary Spanish II","4","J Holguin-Intriago","","MWF","12:00","12:50P","LECTURE"
"15423 SPN 102 8","Elementary Spanish II","4","J Holguin-Intriago","","MWF","1 :00","1 :50P","LECTURE"
"15424 SPN 201 01","Intermediate Spanish I","4","Y Smith","","MWF","08:00","08:50A","LECTURE"
"15425 SPN 201 02","Intermediate Spanish I","4","M Paniagua-Tejo","","MWF","09:00","09:50A","LECTURE"
"15426 SPN 201 03","Intermediate Spanish I","4","J Holguin-Intriago","","MWF","10:00","10:50A","LECTURE"
"15427 SPN 201 04","Intermediate Spanish I","4","R Lilienthal","","MWF","10:00","10:50A","LECTURE"
"15428 SPN 201 05","Intermediate Spanish I","4","R Lilienthal","","MWF","11:00","11:50A","LECTURE"
"15429 SPN 201 06","Intermediate Spanish I","4","J Holguin-Intriago","","MWF","11:00","11:50A","LECTURE"
"15430 SPN 201 07","Intermediate Spanish I","4","M Kupetz","","MWF","12:00","12:50P","LECTURE"
"15431 SPN 201 08","Intermediate Spanish I","4","Y Smith","","MWF","12:00","12:50P","LECTURE"
"15432 SPN 201 09","Intermediate Spanish I","4","R Lilienthal","","MWF","1 :00","1 :50P","LECTURE"
"15433 SPN 201 10","Intermediate Spanish I","4","R Lilienthal","","MWF","2 :00","2 :50P","LECTURE"
"15434 SPN 202 1","Intermediate Spanish II","4","M Paniagua-Tejo","","MWF","10:00","10:50A","LECTURE"
"15435 SPN 202 2","Intermediate Spanish II","4","M Paniagua-Tejo","","MWF","11:00","11:50A","LECTURE"
"15436 SPN 291 1","Advanced Spanish Communication","4","M Kupetz","","MWF","10:00","10:50A","LECTURE"
"15437 SPN 291 2","Advanced Spanish Communication","4","M Kupetz","","MWF","11:00","11:50A","LECTURE"
"15440 SPN 301 1","Adv Spanish thru Lit & Film_CE","4","C Gonzalez Martin","","MW","2 :30","3 :45P","LECTURE"
"15443 SPN 303 1","Business Spanish for Non-Nat","4","A Prieto-Calixto","","MW","2 :30","3 :45P","LECTURE"
"15444 SPN 303 2","Business Spanish for Non-Nat","4","A Prieto-Calixto","","MW","4 :00","5 :15P","LECTURE"
"15469 SPN 321 1","Peoples/Cultures of Spain","4","A Prieto-Calixto","","MW","1 :00","2 :15P","LECTURE"
"15446 SPN 337 1","PerformIdentity:Hspnic Theatre","4","P Tome","","TR","11:00","12:15P","LECTURE"
"16229 SPN 346 1","Fictions of Fear in Latin Amer","4","R Diaz-Zambrana","","TR","2 :00","3 :15P","LECTURE"
"15445 SPN 348 1","Latin Amer Pop Culture","4","R Diaz-Zambrana","","TR","11:00","12:15P","LECTURE"
"15448 SPN 497 1","Senior Capstone Seminar","2","R Diaz-Zambrana , A Prieto-Calixto","","F","1 :00","3 :30P","LECTURE"
"15398 HIS 120 1","DoD: China’s Cultural Rev.","4","K Shi","","MWF","08:00","08:50A","LECTURE"
"15399 HIS 120 2","DoD: Cuba in the 1950s","4","J Varela Yepes","","MWF","10:00","10:50A","LECTURE"
"15400 HIS 125 1","History of a City:Ancnt Athens","4","H Ewing","","MW","1 :00","2 :15P","LECTURE"
"15401 HIS 125 2","History of a City: Cape Town","4","C Strom","CSS 230","MWF","11:00","11:50A","LECTURE"
"16154 HIS 250 1","Hist Methodology: Latin Amer","4","J Varela Yepes","","MWF","12:00","12:50P","LECTURE"
"15402 HIS 332 1","Crusades","4","H Ewing","","TR","11:00","12:15P","LECTURE"
"15403 HIS 338 1","Europe: Revolt, Nation, Empire","4","H Ewing","","TR","2 :00","3 :15P","LECTURE"
"15405 HIS 395 1","Tpc: Maritime E Asia 1500-1900","4","K Shi","","TR","3 :30","4 :45P","LECTURE"
"16147 HIS 395 2","Topics: Cape Town","4","C Strom","CSS 230","MWF","11:00","11:50A","LECTURE"
"15406 HIS 490 1","Senior Capstone","4","C Strom","","F","1 :00","3 :30P","LECTURE"
"16006 HON 202AH 1","Best Writer in the World","4","V Brown","","TR","09:30","10:45A","LECTURE"
"15983 HON 202CH 1","Ethical Controversies & Global","4","M McLaren","CSS 134","TR","09:30","10:45A","LECTURE"
"16088 HON 300AH 1","WritingBooksfor&w/Children_CE","4","M Forsythe","","TR","09:30","10:45A","LECTURE"
"15952 HON 350S 1","DogScience: HumanAnimalInterac","4","R Yankelevitz","","TR","09:30","10:45A","LECTURE"
"15778 HON 400 1","Your Last Lecture","4","D Painter","","TR","09:30","10:45A","LECTURE"
"16232 INT 125 1","Life&Financial Literacy Skills","1","D Pistor","","T","12:20","1 :05P","LECTURE"
"16234 INT 195 2","Tc:Buildng Resiliency & Wellns","2","C Briscoe","","TR","3 :30","4 :45P","LECTURE"
"16233 INT 225 1","Adv Life & Financial Literacy","1","D Pistor","","T","1 :10","1 :50P","LECTURE"
"16143 INT 232 1X","Found Peer Health Education II","2","A Williams","OLIN VAN HOUTEN","T","12:30","1 :45P","LECTURE"
"16282 INT 295 1","Tc: Acad Upgrade AI & Research","2","R Walton","OLIN","MW","1 :00","2 :15P","LECTURE"
"16157 LAC 200 1","Latin Amer and Carib Society","4","J Doyle","","TR","2 :00","3 :15P","LECTURE"
"16158 LAC 395 1","Tpc: Social Mvmnts in Latin Am","4","J Doyle","","MW","1 :00","2 :15P","LECTURE"
"15571 MAT 103 1","Statistical Reasoning","4","S Jani","","MWF","08:00","08:50A","LECTURE"
