Course,Title,Credits,Instructor,Location,Days,Start,End,Type
"16222 RFLA 100C 07","Economic History of China","4","K Shi","","MW","2 :30","3 :45P","LECTURE"
"16223 RFLA 100C 08","Beyond 23andMe","4","T Mould","","TR","09:30","10:45A","LECTURE"
"16224 RFLA 100C 09","Global Financial History","4","Y Bing","","TR","09:30","10:45A","LECTURE"
"16241 RFLA 100C 10","Identities:Conformity&Deviance","4","A McClure","","TR","08:00","09:15A","LECTURE"
"15462 RFLA 100H 01","Digital Storytelling","4","S Schoen","OLIN 220","TR","09:30","10:45A","LECTURE"
"15490 RFLA 100H 02","Sex, War, & Plague","4","E Russell , J Mathews","BUSH 202","MWF","09:00","09:50A","LECTURE"
"15491 RFLA 100H 03","Growing Up Other(wise)","4","F Tran","","MWF","08:00","08:50A","LECTURE"
"15492 RFLA 100H 04","Studies in Television","4","M Moise","","TR","09:30","10:45A","LECTURE"
"16235 RFLA 100H 05","Nature Spirituality","4","V Machado","SULLV HSE","TR","09:30","10:45A","LECTURE"
"16002 RFLA 100H 06","Extremes of Religion","4","T French","KMC 1","TR","09:30","10:45A","LECTURE"
"16236 RFLA 100H 07","Nature Spirituality","4","V Machado","SULLV HSE","TR","2 :00","3 :15P","LECTURE"
"16244 RFLA 100H 08","Can You (Still) Laugh?","4","N Gammar","","MWF","09:00","09:50A","LECTURE"
"15621 RFLA 200A 01","Introduction to Sculpture","4","A Hope","CFAC 101","MW","2 :30","3 :45P","LECTURE"
"15656 RFLA 200A 02","Graphic Narratives","4","R Simmons","CFAC 107 CFAC 110","TR TR","09:30","10:45A 09:30","LECTURE"
"15905 RFLA 200A 03","History of Musical Theatre","4","M Barnes","","MWF","11:00","11:50A","LECTURE"
"16043 RFLA 200A 04","Musical One Hit Wonders","4","C Archard","KEENE 103","TR","09:30","10:45A","LECTURE"
"16044 RFLA 200A 05","Music Meets Life","4","D Flick","KEENE 103","MWF","09:00","09:50A","LECTURE"
"16090 RFLA 200A 06","Introduction to Sculpture","4","A Hope","CFAC 101","MW","1 :00","2 :15P","LECTURE"
"16046 RFLA 200A 07","Oh, The Horror!","4","C Shelton","KEENE 101","MWF","09:00","09:50A","LECTURE"
"16122 RFLA 200C 01","Americn Political Polarization","4","J Lin","CSS 232","TR","09:30","10:45A","LECTURE"
"16194 RFLA 200C 02","Life on Film","4","J Jenoch","","TR","09:30","10:45A","LECTURE"
"15508 RFLA 200C 03","Primates & People","4","S Saiyed","","TR","09:30","10:45A","LECTURE"
"16056 RFLA 200C 04","Science Fiction and Politics","4","T Rahman","","MWF","09:00","09:50A","LECTURE"
"15776 RFLA 200C 05","Human Com: Body Language","4","J Hammonds","","TR","08:00","09:15A","LECTURE"
"15953 RFLA 200C 06","Psychology of Stress","4","A Luchner","","TR","2 :00","3 :15P","LECTURE"
"15441 RFLA 200H 01","The Latino Journey to the U.S.","4","M Kupetz","","MWF","09:00","09:50A","LECTURE"
"15442 RFLA 200H 02","Spanish Gastronomy Explosion","4","M Paniagua-Tejo","","TR","09:30","10:45A","LECTURE"
"16153 RFLA 200H 03","Race, Class, Gender Lat Amer","4","R Diaz-Zambrana","","TR","09:30","10:45A","LECTURE"
"15475 RFLA 200H 04","Body Liberation, Food Justice","4","L Tillmann","","TR","08:00","09:15A","LECTURE"
"15484 RFLA 200H 05","Body Liberation, Food Justice","4","L Tillmann","","TR","09:30","10:45A","LECTURE"
"15495 RFLA 200H 06","Mean Girls in Film & Lit","4","J Jones","","MW","2 :30","3 :45P","LECTURE"
"16003 RFLA 200H 07","Sci-Fi, Philosophy, and Film","4","S Rubarth","","MW","1 :00","2 :15P","LECTURE"
"16275 RFLA 200S 01","Astronomy & NASA","6","C Fuse","BUSH 176","TR M","09:30","10:45A 2 :00","LECTURE"
"15555 RFLA 200S 02","Astronomy & NASA","6","C Fuse","BUSH 176 BUSH 308","TR T","09:30","10:45A 2 :00","LECTURE"
"16250 RFLA 200S 03","Science&Art: Leonardo DaVinci","6","S Fonseca Douguet","BUSH 180","TR F","2 :00","3 :15P 2 :00","LECTURE"
"15836 RFLA 200S 04","FL Biodiversity & Enviro Sci","6","I Biazzo","BUSH 164","TR","09:30","10:45A","LECTURE"
"15554 RFLA 200S 05","Science&Art: Leonardo DaVinci","6","S Fonseca Douguet","BUSH 180","TR W","09:30","10:45A 2 :00","LECTURE"
"16230 RFLA 300 01","Embodied Resistance: Prf Desgn","4","M DiQuattro , L Cody-Rapport","ASC 109","TR","09:00","10:50A","LECTURE"
"15496 RFLA 300 02","Good Medicine/Bad Drugs","4","E Russell","","MW","2 :30","3 :45P","LECTURE"
"16123 RFLA 300 03","Beyond Cultural Relativity","4","G Beaudin","","MW","2 :30","3 :45P","LECTURE"
"15498 RFLA 300 04","Righting Wrongs","4","M Cheng","","TR","09:30","10:45A","LECTURE"
"15569 RFLA 300 05","Social Choice Math","4","S Boyd","","MWF","08:00","08:50A","LECTURE"
"15570 RFLA 300 06","Social Choice Math","4","S Boyd","","MWF","09:00","09:50A","LECTURE"
"15733 RFLA 300 07","Asian Amercn Identity Thru Rep","4","M Robinson","","TR","09:30","10:45A","LECTURE"
"15439 RFLA 300 08","Latin Amer. Goes to the Movies","4","P Tome","","TR","09:30","10:45A","LECTURE"
"15777 RFLA 300 09","Communication Culture & Confct","4","A Stone , M Nelson","","TR","09:30","10:45A","LECTURE"
"16053 RFLA 300 10","Materials and Society","4","B Mosby","","TR","09:30","10:45A","LECTURE"
"15837 RFLA 300 11","America's Gifts","4","B Allen","BEAL 2","MW","2 :30","3 :45P","LECTURE"
"16004 RFLA 300 12","Learn/Teach about Holocaust","4","Y Greenberg , H Zissman","","TR","09:30","10:45A","LECTURE"
"16288 RFLA 300 13","Critical Disability Studies","4","S Coffman-Rosen","","TR","09:30","10:45A","LECTURE"
